_id,id,air_quality_benfits_total_lbs,neighborhood
478,1206196601,0.291893968,Morningside
479,1913922111,0.097470209,Morningside
480,1707783342,0.522779411,Morningside
481,496875186,1.19471465,Central Northside
482,1737719522,0.128283709,Homewood South
483,2000045017,0.049331076,Homewood South
484,18916255,0.271151708,Homewood South
485,1449989387,0.173330867,Homewood South
486,417468427,0.126576313,Homewood South
487,893018164,0.317639436,Homewood South
488,1439520377,0.171031399,Homewood South
489,48073986,0.271151708,Homewood South
490,1090157523,1.544485723,East Hills
491,1994650495,0.867628789,East Hills
492,1177301992,0.142261654,Central Northside
493,2118225340,1.168356315,Homewood West
494,1279446037,1.382427748,Homewood West
495,569716593,1.797461759,Homewood South
496,581516746,1.086478263,Homewood North
497,1351309873,0.864698507,Homewood West
498,1273582131,1.946089547,Homewood South
499,1057325766,0.088979615,Homewood West
500,672294214,1.196503643,Homewood North
501,591901744,1.514707978,Homewood North
502,1086637429,1.789915795,Homewood North
503,877247181,,Central Northside
504,1546665926,1.196503643,Homewood North
505,1129515145,1.048849986,Homewood North
506,477540636,1.673810145,Homewood North
507,236772168,2.862091182,Homewood North
508,1983291639,0.591701199,Homewood North
509,274458609,1.196503643,Homewood North
510,251947017,1.627248164,Homewood North
511,1473997869,0.664442067,Homewood North
512,800448993,0.260493184,Homewood North
513,1495465513,0.238683532,Homewood West
514,1221543773,2.022127095,Central Northside
515,705208863,1.90973993,Homewood North
516,1543498658,0.503116025,Homewood West
517,1056974400,0.054308253,Homewood North
518,2051889574,1.673810145,Homewood North
519,1724796503,0.513908222,Homewood North
520,777085877,0.025709723,Homewood West
521,617069155,1.418324491,Homewood North
522,835753844,0.4360846,Homewood South
523,138836920,0.105924548,Homewood South
524,996391249,2.138232745,East Liberty
525,1533200845,0.664442067,Central Northside
526,1583621271,2.132252571,East Hills
527,1615704317,0.378359247,East Hills
528,466972156,0.503116025,East Hills
529,944367540,1.165906581,East Hills
530,1599606518,0.207721333,East Hills
531,1722444820,2.358589697,East Hills
532,645676619,2.098451969,East Hills
533,69154952,3.099888517,East Hills
534,1055255806,2.47354361,East Hills
535,1536967510,0.765231379,East Hills
536,1844297784,0.02546064,Central Northside
537,1943258283,0.867628789,East Hills
538,1459669145,3.061358191,East Hills
539,1420596575,5.205911806,East Hills
540,1074462753,0.267345888,East Hills
541,1084180336,1.172408871,Homewood South
542,1590067064,0.527788049,Greenfield
543,1843560415,0.207224798,Homewood South
544,193458324,1.90973993,Homewood South
545,1645219095,2.610242973,Homewood South
546,1832098890,0.304061227,Greenfield
547,530346721,0.009838326,Central Northside
